# id,startDate,stopDate,sampleStartDate,sampleStopDate
solo_L2_swa-eas2-nm3d-dnf,2020-06-15T14:48:38.0,2023-11-01T00:00:01.0,2023-10-31T00:01:41.0,2023-11-01T00:00:01.0
solo_L2_rpw-tds-surv-rswf-e,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_swa-eas2-ss-psd,2020-06-15T14:49:26.0,2023-11-01T00:00:49.0,2023-10-31T00:02:29.0,2023-11-01T00:00:49.0
solo_L2_epd-step-hcad,2020-04-30T00:00:00.0,2021-10-23T00:00:00.0,2021-10-22T00:00:00.0,2021-10-23T00:00:00.0
solo_L2_epd-ept-asun-burst-ele-close,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_epd-het-north-burst,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_epd-het-north-rates,2020-05-13T00:00:00.0,2023-10-01T00:00:00.0,2023-09-30T00:00:00.0,2023-10-01T00:00:00.0
solo_L2_rpw-lfr-surv-swf-e,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_epd-ept-north-hcad,2020-05-13T00:00:00.0,2021-03-24T00:00:00.0,2021-03-23T00:00:00.0,2021-03-24T00:00:00.0
solo_L2_epd-ept-sun-rates,2020-05-13T00:00:00.0,2023-10-01T00:00:00.0,2023-09-30T00:00:00.0,2023-10-01T00:00:00.0
solo_L2_rpw-tds-surv-tswf-b,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_swa-eas-pad-psd,2020-06-16T09:00:01.0,2023-10-31T17:37:31.0,2023-10-31T17:22:32.0,2023-10-31T17:37:31.0


